UID,ALL_AgeOfOldestAccount,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts
1090178,218,162.0,0
1090504,126,1388.0,7
1090937,100,24200.0,0
1091616,259,3796.0,1
1092198,155,16734.0,2
1092434,248,6525.0,1
1092636,172,5177.0,7
1093291,161,5619.0,1
1094053,205,10252.0,0
1095336,170,3823.0,7
1095744,205,4573.0,0
1095759,152,31243.0,0
1095873,-1,,
1096044,205,6761.0,0
1096634,330,14561.0,0
1096698,171,8654.0,0
1097938,106,3441.0,7
1099737,254,28608.0,0
1100547,75,14339.0,0
1105119,756,4869.0,0
1108873,298,0.0,0
1109017,170,30675.0,7
1109844,172,29526.0,7
1112091,123,6379.0,0
1112147,26,4396.0,0
1113504,257,5277.0,0
1113890,66,29909.0,7
1114305,175,229.0,0
1115570,163,4686.0,0
1117556,261,30323.0,7
1118167,352,42379.0,0
1120569,208,204.0,0
1122300,111,548.0,0
1122510,16,22774.0,0
1122513,105,7824.0,0
1123744,134,21626.0,7
1125232,262,5293.0,7
1127304,138,13327.0,0
1127498,64,6053.0,1
1127770,168,5349.0,0
1128349,81,1081.0,0
1129472,165,12524.0,1
1130288,114,11611.0,1
1132615,122,3858.0,0
1133643,224,29014.0,0
1133734,139,2542.0,7
1134232,172,3005.0,0
1135480,88,10898.0,7
1136906,40,5157.0,0
1138240,141,10519.0,0
1139048,202,18700.0,0
1139112,151,15866.0,7
1139992,298,48607.0,0
1141940,63,511.0,0
1142381,34,8751.0,0
1143491,218,45655.0,0
1144167,354,13833.0,7
1145218,148,43340.0,0
1145706,207,54628.0,0
1146950,80,12857.0,0
1149132,115,10626.0,0
1153121,41,0.0,0
1153127,45,6279.0,7
1153861,291,30011.0,7
1153999,83,8172.0,0
1154216,161,1928.0,0
1155033,208,3418.0,1
1157008,179,184.0,0
1158663,215,31045.0,0
1158709,382,14071.0,0
1159101,161,11327.0,0
1159460,172,6106.0,7
1161267,98,4761.0,0
1162022,124,12157.0,0
1162505,86,1352.0,7
1162938,211,895.0,0
1163317,167,25342.0,0
1163348,101,13531.0,6
1163638,225,39656.0,0
1164854,24,236.0,0
1165553,182,22920.0,1
1165797,60,14525.0,0
1169286,215,23534.0,7
1169762,153,5504.0,7
1170315,127,13485.0,0
1172240,110,4311.0,7
1172369,30,799.0,0
1173855,126,3864.0,0
1174950,151,9331.0,0
1177396,391,27475.0,2
1177855,69,8778.0,7
1178242,311,7858.0,7
1178808,185,1319.0,0
1179639,137,3848.0,0
1180098,151,17720.0,0
1180584,169,6988.0,7
1180787,195,11612.0,0
1181545,51,696.0,0
1182990,95,11388.0,0
1183102,78,2477.0,0
1183221,16,540.0,7
1186324,204,7523.0,7
1189244,96,5408.0,0
1191555,133,8407.0,0
1192319,15,2040.0,0
1193355,387,51174.0,0
1196132,119,1717.0,0
1197324,207,6193.0,5
1199064,280,28175.0,0
1199264,239,4214.0,7
1199613,211,2887.0,7
1200735,162,2991.0,0
1201001,173,74493.0,0
1205090,132,2675.0,0
1205524,106,5697.0,0
1206194,224,20006.0,0
1208122,92,1431.0,0
1209888,160,1629.0,0
1211997,75,28811.0,0
1212163,271,7249.0,0
1214605,543,29191.0,0
1215904,92,2610.0,0
1217209,105,4927.0,7
1217445,143,17161.0,1
1218612,239,13837.0,6
1220190,124,19702.0,0
1221174,246,12083.0,0
1221460,125,822.0,7
1222338,240,18045.0,0
1222656,52,3589.0,0
1222675,101,1459.0,7
1223465,167,2939.0,7
1229505,287,10714.0,0
1229786,88,3119.0,7
1230634,220,677.0,0
1232430,98,9888.0,7
1232727,222,11969.0,0
1234182,165,15854.0,0
1235246,211,12460.0,0
1235414,80,0.0,0
1235845,116,28775.0,0
1236682,74,5940.0,0
1238265,151,4161.0,7
1240206,250,6924.0,0
1240577,106,16248.0,0
1240851,158,6524.0,7
1241981,266,2209.0,7
1242435,81,4413.0,7
1248555,76,307.0,0
1249940,322,6438.0,0
1250502,203,1493.0,0
1250948,85,548.0,7
1251047,151,36646.0,0
1252003,40,797.0,0
1252836,96,5198.0,3
1253358,80,8492.0,7
1253568,44,3915.0,0
1254520,107,3717.0,7
1257701,45,0.0,0
1261720,131,17316.0,0
1261784,197,1596.0,7
1263248,155,12476.0,7
1265548,118,2667.0,0
1266170,86,528.0,7
1266368,316,1403.0,7
1266642,217,266.0,6
1266744,119,33604.0,7
1267798,283,38532.0,1
1267985,91,1498.0,7
1268916,226,24184.0,0
1269282,101,7176.0,5
1269576,174,5776.0,0
1269755,57,5503.0,7
1270172,246,8928.0,0
1270350,117,10508.0,0
1270453,315,2229.0,0
1270964,87,2063.0,7
1272055,124,2988.0,1
1272888,305,10597.0,0
1273260,173,600.0,0
1274259,140,3627.0,0
1274477,123,4234.0,7
1275368,179,20347.0,0
1275778,59,1269.0,0
1276144,194,14040.0,7
1277761,140,3703.0,7
1278242,84,2173.0,0
1278494,113,0.0,0
1279916,125,7280.0,6
1280237,77,1248.0,7
1281350,174,4514.0,1
1281684,173,16249.0,6
1282488,105,13248.0,0
1282557,196,10217.0,0
1283023,307,33061.0,0
1283285,189,6314.0,0
1285157,102,8022.0,0
1285406,170,15938.0,0
1286263,152,2530.0,0
1286976,166,827.0,0
1287422,113,1500.0,0
1287767,220,47160.0,0
1289036,80,19956.0,0
1289076,157,33884.0,0
1289670,178,26257.0,0
1290069,188,13000.0,7
1292689,227,28035.0,7
1296294,175,29690.0,0
1296392,176,42724.0,5
1298885,262,26789.0,7
1299031,219,7135.0,7
1299262,226,84503.0,0
1299315,173,32609.0,2
1301925,114,2393.0,7
1302632,125,4957.0,7
1303418,207,7285.0,0
1303852,165,2706.0,7
1304123,256,53266.0,0
1304729,281,8146.0,0
1304927,123,8980.0,0
1305411,95,9448.0,0
1305468,78,1497.0,1
1306245,52,3338.0,7
1307145,358,11976.0,7
1307400,65,24518.0,0
1308605,78,4970.0,2
1309852,225,0.0,0
1310959,75,121936.0,0
1311378,121,9485.0,0
1314428,31,219.0,0
1318098,117,15539.0,0
1318522,73,8113.0,7
1318648,86,16612.0,7
1318815,116,4105.0,7
1319168,406,14565.0,0
1319856,153,9578.0,7
1320452,254,22292.0,0
1321380,132,2097.0,7
1321772,202,29850.0,0
1322088,13,1716.0,6
1323098,100,1899.0,7
1323885,139,4790.0,7
1324767,186,39783.0,0
1325582,278,57784.0,0
1328434,247,43862.0,0
1328959,160,1529.0,0
1329028,282,25425.0,0
1330537,194,6837.0,0
1332310,219,8803.0,7
1332614,158,1117.0,0
1332874,44,95.0,0
1333630,95,1071.0,7
1336205,79,29238.0,0
1336696,148,24168.0,0
1338935,158,211.0,0
1341383,98,2017.0,0
1341607,137,2346.0,7
1342947,133,12281.0,0
1344330,757,17006.0,6
1345263,64,502.0,7
1345698,51,1096.0,7
1346424,323,3937.0,0
1347088,231,3627.0,7
1347567,459,46522.0,7
1347679,53,7707.0,0
1347972,161,6369.0,0
1350256,66,1979.0,7
1351151,91,936.0,7
1351426,87,3066.0,7
1351950,160,0.0,0
1353484,194,13127.0,0
1355866,162,25904.0,0
1356791,242,9539.0,7
1357071,75,19640.0,0
1357915,48,9591.0,0
1358867,6,1918.0,1
1359413,70,948.0,0
1359840,301,26920.0,7
1359895,162,26316.0,2
1360138,46,14263.0,0
1360282,169,4707.0,5
1361484,116,503.0,0
1361877,122,13479.0,0
1363125,71,0.0,0
1364349,22,0.0,0
1364967,195,0.0,0
